ensg	entr	hgnc	symb	synonym1	synonym2
ENSG00000150676	220047	HGNC:28535	CCDC83	KP-CoT-23	
ENSG00000055813	114800	HGNC:29400	CCDC85A	KIAA1912	
ENSG00000175602	11007	HGNC:24926	CCDC85B	DIPA	
ENSG00000205476	317762	HGNC:35459	CCDC85C		
ENSG00000110104	79080	HGNC:28359	CCDC86	MGC2574	
ENSG00000110104	79080	HGNC:28359	CCDC86	cyclon	
ENSG00000256813	127138859	HGNC:56314	CCDC86-AS1	RP5-1148A21.3	
ENSG00000256813	127138859	HGNC:56314	CCDC86-AS1	lncRP5	
ENSG00000182791	55231	HGNC:25579	CCDC87	FLJ10786	
ENSG00000115355	55704	HGNC:25523	CCDC88A	FLJ10392	KIAA1212
ENSG00000115355	55704	HGNC:25523	CCDC88A	APE	KIAA1212
ENSG00000115355	55704	HGNC:25523	CCDC88A	GIV	KIAA1212
ENSG00000115355	55704	HGNC:25523	CCDC88A	HkRP1	KIAA1212
ENSG00000115355	55704	HGNC:25523	CCDC88A	GRDN	KIAA1212
ENSG00000168071	283234	HGNC:26757	CCDC88B	FLJ37970	CCDC88
ENSG00000168071	283234	HGNC:26757	CCDC88B	BRLZ	CCDC88
ENSG00000168071	283234	HGNC:26757	CCDC88B	HkRP3	CCDC88
ENSG00000168071	283234	HGNC:26757	CCDC88B	FLJ00354	CCDC88
ENSG00000168071	283234	HGNC:26757	CCDC88B	GIPIE	CCDC88
ENSG00000015133	440193	HGNC:19967	CCDC88C	DAPLE	KIAA1509
ENSG00000015133	440193	HGNC:19967	CCDC88C	HkRP2	KIAA1509
ENSG00000015133	440193	HGNC:19967	CCDC88C	SCA40	KIAA1509
ENSG00000258798	105370625	HGNC:55438	CCDC88C-DT		
ENSG00000179071	220388	HGNC:26762	CCDC89	FLJ38159	
ENSG00000137500	60492	HGNC:28108	CCDC90B	MDS025	
ENSG00000137500	60492	HGNC:28108	CCDC90B	MDS011	
ENSG00000255234	120883614	HGNC:55505	CCDC90B-AS1		
ENSG00000123106	55297	HGNC:24855	CCDC91	p56	
ENSG00000123106	55297	HGNC:24855	CCDC91	FLJ11088	
ENSG00000123106	55297	HGNC:24855	CCDC91	DKFZp779L1558	
